arquivo,estrutura,texto_original,codigo,descricao,dimensoes,largura,altura,profundidade,quantidade,unidade,material,area_m2,tipo,dimensao1,dimensao2
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M007M,M007,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,"M007
M",M007,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M001M,M001,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M014M,M014,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M007 M,M007,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,"M007
M",M007,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M007 M,M007,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M007 M,M007,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M003M,M003,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,"M003
M",M003,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,"M003
M",M003,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M003M,M003,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,"M003
M",M003,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M007M,M007,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M007M,M007,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M011M,M011,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,"M011
M",M011,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M003M,M003,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M003 M,M003,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M011M,M011,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M003M,M003,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,"M011
M",M011,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,"M010
0",M010,0,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M010f,M010,f,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,"M013
p",M013,p,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,"M010
0",M010,0,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,item_medidas,"--- PÁGINA 1 ---
PROJETO DE ARQUITETURA 
-CARTÃO DE TODOS JOINVILLE -SC -
ARQUITETO E URBANISTA ANDRÉ DA SILVA MARTINS -CAU A56427 -3 AUTOR DO PROJETO:ADMINISTRADORA DE CARTÃO DE TODOS DE JOINVILLE  LTDA PROPRIETÁRIO:

--- PÁGINA 2 ---
M002 -mesa atendimento recepção MDF (135x60/75 cm",,"--- PÁGINA 1 ---
PROJETO DE ARQUITETURA 
-CARTÃO DE TODOS JOINVILLE -SC -
ARQUITETO E URBANISTA ANDRÉ DA SILVA MARTINS -CAU A56427 -3 AUTOR DO PROJETO:ADMINISTRADORA DE CARTÃO DE TODOS DE JOINVILLE  LTDA PROPRIETÁRIO:

--- PÁGINA 2 ---
M002 -mesa atendimento recepção MDF (",,135,60,75,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,item_medidas,")
M003 -mesa tipo baia MDF (80x60/75cm",,")
M003 -mesa tipo baia MDF (",,80,60,75,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,item_medidas,")
M005 -mesa copa MDF 300X80/75 cm",,")
M005 -mesa copa MDF",,300,80,75,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,item_medidas,"
M006 -mesa redonda ø 90 cm
M007 -armário baixo com portas MDF (80x50x75cm",,"
M006 -mesa redonda ø 90 cm
M007 -armário baixo com portas MDF (80x",,50,75,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,item_medidas,)M001 -mesa atendimento MDF (120x60/75 cm,,)M001 -mesa atendimento MDF (,,120,60,75,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,item_medidas, limpeza (110x40x180 cm,, limpeza (110x,,40,180,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,item_medidas,")
M010 -bancada em granito (200x60/90 cm",,")
M010 -bancada em granito (",,200,60,90,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,item_medidas,")
E007 -forno microondasLEGENDA DE MOBILIÁRIO E EQUIPAMENTOS:
MOBILIÁRIO
EQUIPAMENTOSM011 -amário aéreo em mdf (800x35x50 cm",,")
E007 -forno microondasLEGENDA DE MOBILIÁRIO E EQUIPAMENTOS:
MOBILIÁRIO
EQUIPAMENTOSM011 -amário aéreo em mdf (800x",,35,50,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,item_medidas,")
M012 -aparador mdf (80x40/75 cm",,")
M012 -aparador mdf (",,80,40,75,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,item_medidas,") para cafeteira
M013 -bancada em granito (290x50/90 cm",,") para cafeteira
M013 -bancada em granito (",,290,50,90,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,item_medidas,")
M014 -mesa de reuniões mdf (500x100/75 cm",,")
M014 -mesa de reuniões mdf (",,500,100,75,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,item_medidas,")
M015 -balcão mdf (240x40/110 cm",,")
M015 -balcão mdf (",,240,40,110,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,item_medidas," sem cheiro e lavável)Paredes Internas/divisórias em drywall 10 cm até o forroPAREDES
REVESTIMENTOS DE PAREDES/DRYWALL
Paredes revestidas com cerâmica branca 32,5x59 cm",," sem cheiro e lavável)Paredes Internas/divisórias em drywall 10 cm até o forroPAREDES
REVESTIMENTOS DE PAREDES/DRYWALL
Paredes revestidas com cerâmica branca 32",,5,59,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,item_medidas,"60 m
PISOS
Porcelanato acetinado retificado 60x60 cm",,"60 m
PISOS
Porcelanato acetinado retificado",,60,60,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"1 ---
PROJETO DE ARQUITETURA 
-CARTÃO DE TODOS JOINVILLE -SC -
ARQUITETO E URBANISTA ANDRÉ DA SILVA MARTINS -CAU A56427 -3 AUTOR DO PROJETO:ADMINISTRADORA DE CARTÃO DE TODOS DE JOINVILLE  LTDA PROPRIETÁRIO:

--- PÁGINA 2 ---
M002 -mesa atendimento recepção MDF (135x60/75 cm)
M003 -mesa tipo baia MDF (80x60/75cm)
M005 -mesa copa MDF 300X80/75 cm
M006 -mesa redonda ø 90 cm
M007 -armário baixo com portas MDF (80x50x75cm)M001 -mesa atendimento MDF (120x60/75 cm)
E002 -pc/notebook
E003 -impressora
E004 -geladeira/frigobarE006 -TVE005 -exaustor tipo ventokit E001 -bebedouro/purificador de águaM004 -longarinas recepção
M008 -armários em MDF para arquivoM009 -armário em MDF prod",,,,,,,1,,"--
PROJETO DE ARQUITETURA 
-CARTÃO DE TODOS JOINVILLE -SC -
ARQUITETO E URBANISTA ANDRÉ DA SILVA MARTINS -CAU A56427 -3 AUTOR DO PROJETO:ADMINISTRADORA DE CARTÃO DE TODOS DE JOINVILLE  LTDA PROPRIETÁRIO:

--- PÁGINA 2 ---
M002 -mesa atendimento recepção MDF (135x60/75 cm)
M003 -mesa tipo baia MDF (80x60/75cm)
M005 -mesa copa MDF 300X80/75 cm
M006 -mesa redonda ø 90 cm
M007 -armário baixo com portas MDF (80x50x75cm)M001 -mesa atendimento MDF (120x60/75 cm)
E002 -pc/notebook
E003 -impressora
E004 -geladeira/frigobarE006 -TVE005 -exaustor tipo ventokit E001 -bebedouro/purificador de águaM004 -longarinas recepção
M008 -armários em MDF para arquivoM009 -armário em MDF prod",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"110x40x180 cm)
M010 -bancada em granito (200x60/90 cm)
E007 -forno microondasLEGENDA DE MOBILIÁRIO E EQUIPAMENTOS:
MOBILIÁRIO
EQUIPAMENTOSM011 -amário aéreo em mdf (800x35x50 cm)
M012 -aparador mdf (80x40/75 cm) para cafeteira
M013 -bancada em granito (290x50/90 cm)
M014 -mesa de reuniões mdf (500x100/75 cm)
M015 -balcão mdf (240x40/110 cm)
E003 M007ATENDIMENTO
1",,,,,,,110,,"x40x180 cm)
M010 -bancada em granito (200x60/90 cm)
E007 -forno microondasLEGENDA DE MOBILIÁRIO E EQUIPAMENTOS:
MOBILIÁRIO
EQUIPAMENTOSM011 -amário aéreo em mdf (800x35x50 cm)
M012 -aparador mdf (80x40/75 cm) para cafeteira
M013 -bancada em granito (290x50/90 cm)
M014 -mesa de reuniões mdf (500x100/75 cm)
M015 -balcão mdf (240x40/110 cm)
E003 M007ATENDIMENTO
1",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,00 1,,,,,,,00,,1,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"00M002
A = 5",,,,,,,00,,"M002
A = 5",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,54 m²ALMOXARIFADO1,,,,,,,54,,m²ALMOXARIFADO1,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,00 1,,,,,,,00,,1,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,00 1,,,,,,,00,,1,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,005,,,,,,,00,,5,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,00 0,,,,,,,00,,0,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,81A = 24,,,,,,,81,,A = 24,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,72 m²SALA DE VENDAS IIA = 19,,,,,,,72,,m²SALA DE VENDAS IIA = 19,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"66 m²SALA DE VENDAS I
1",,,,,,,66,,"m²SALA DE VENDAS I
1",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,00 1,,,,,,,00,,1,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,22 1,,,,,,,22,,1,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"00
A = 17",,,,,,,00,,A = 17,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,44 m²SALA DE REUNIÕESA = 12,,,,,,,44,,m²SALA DE REUNIÕESA = 12,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,48 m²PRÉ-VENDASA = 20,,,,,,,48,,m²PRÉ-VENDASA = 20,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,69 m²ADIMPLÊNCIAA = 3,,,,,,,69,,m²ADIMPLÊNCIAA = 3,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"35 m²SANITÁRIO
ACESSÍVEL
A = 5",,,,,,,35,,"m²SANITÁRIO
ACESSÍVEL
A = 5",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"21 m²SANITÁRIO
FEMININO
A = 5",,,,,,,21,,"m²SANITÁRIO
FEMININO
A = 5",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"21 m²SANITÁRIO
MASCULINO A = 4",,,,,,,21,,"m²SANITÁRIO
MASCULINO A = 4",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"90 m²DML
A = 21",,,,,,,90,,"m²DML
A = 21",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"25 m²COPA FUNCIONÁRIOS
A = 43",,,,,,,25,,"m²COPA FUNCIONÁRIOS
A = 43",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"64 m²RECEPÇÃO
A = 6",,,,,,,64,,"m²RECEPÇÃO
A = 6",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"90 m²CONCILIAÇÃO
A = 5",,,,,,,90,,"m²CONCILIAÇÃO
A = 5",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,24 m²ESPERAM0010,,,,,,,24,,m²ESPERAM0010,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,50 0,,,,,,,50,,0,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"90E003
M001
A = 8",,,,,,,90,,"E003
M001
A = 8",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"36 m²GERÊNCIAM007
E003 M007
M006
M007 M007
E006E0041",,,,,,,36,,"m²GERÊNCIAM007
E003 M007
M006
M007 M007
E006E0041",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"00armárioM009
M008
M005E004M010E007
0",,,,,,,00,,"armárioM009
M008
M005E004M010E007
0",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,80 0,,,,,,,80,,0,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,80 1,,,,,,,80,,1,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"07
3",,,,,,,07,,3,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"00fechamento em vidro temperado até o forroSobe
lixeira
E006M003
E006M003
M003
M003
M003
M003ACESSO
E007 E007 E007
conciliaçãoassessor de
parcerias
rack/dados
pilar
existente
armários em açoM007
E001
HALL DA FAMA1",,,,,,,00,,"fechamento em vidro temperado até o forroSobe
lixeira
E006M003
E006M003
M003
M003
M003
M003ACESSO
E007 E007 E007
conciliaçãoassessor de
parcerias
rack/dados
pilar
existente
armários em açoM007
E001
HALL DA FAMA1",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,201,,,,,,,20,,1,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,800,,,,,,,80,,0,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,90 0,,,,,,,90,,0,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"90
1",,,,,,,90,,1,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"35
M002 M002 M002E001 M0120",,,,,,,35,,M002 M002 M002E001 M0120,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"35
0",,,,,,,35,,0,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,900,,,,,,,90,,0,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,50 0,,,,,,,50,,0,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,89M0130,,,,,,,89,,M0130,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,50 0,,,,,,,50,,0,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"90
M007 M007
armários 
em açopilar
existenteM007M007
M007
M001
M001M001poltronasM014M015M007 M007 M007
M007 M007 M0071",,,,,,,90,,"M007 M007
armários 
em açopilar
existenteM007M007
M007
M001
M001M001poltronasM014M015M007 M007 M007
M007 M007 M0071",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"20
marketingpessoas
e cultura
0",,,,,,,20,,"marketingpessoas
e cultura
0",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,69 0,,,,,,,69,,0,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,68M007 M0070,,,,,,,68,,M007 M0070,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,50 0,,,,,,,50,,0,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,50 1,,,,,,,50,,1,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,20 0,,,,,,,20,,0,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,90 0,,,,,,,90,,0,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"60M003M003 M003
M003
M003
M003
M003M003
M003
M003M007M007M007M007A = 5",,,,,,,60,,"M003M003 M003
M003
M003
M003
M003M003
M003
M003M007M007M007M007A = 5",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"04 m²FINANCEIROM011M011M011
M011
M003M011M003 M003M011M003 M003M011M011
M011
2",,,,,,,04,,"m²FINANCEIROM011M011M011
M011
M003M011M003 M003M011M003 M003M011M011
M011
2",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"38
0",,,,,,,38,,0,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"40
1",,,,,,,40,,1,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,501,,,,,,,50,,1,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"50quadros
decorativosE005
E005 E005 E005 E005
E005
2",,,,,,,50,,"quadros
decorativosE005
E005 E005 E005 E005
E005
2",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"50
4",,,,,,,50,,4,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,804,,,,,,,80,,4,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,804,,,,,,,80,,4,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"80
2",,,,,,,80,,2,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"50M010
01
VAGA PARA
ESTACIONAMENTO
02
VAGA PARA
ESTACIONAMENTOP4
P4P4
P4P4
P3
P3P4 P2
P4P6 P6 P6 P6
P1
P1
P4P1
P1P1 P1
J2P1
J1
J1P4
P5fechamento em vidro temperado até o forrofechamento em vidro temperado até o forrofechamento em vidro temperado até o forrofechamento em vidro temperado até o forrofechamento em vidro temperado até o forro
A = 10",,,,,,,50,,"M010
01
VAGA PARA
ESTACIONAMENTO
02
VAGA PARA
ESTACIONAMENTOP4
P4P4
P4P4
P3
P3P4 P2
P4P6 P6 P6 P6
P1
P1
P4P1
P1P1 P1
J2P1
J1
J1P4
P5fechamento em vidro temperado até o forrofechamento em vidro temperado até o forrofechamento em vidro temperado até o forrofechamento em vidro temperado até o forrofechamento em vidro temperado até o forro
A = 10",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,90 m²ASSESSORES45,,,,,,,90,,m²ASSESSORES45,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"00°
45",,,,,,,00,,"°
45",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"00°
45",,,,,,,00,,"°
45",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"00°01
VAGA PARA
ESTACIONAMENTO
MOTOSBICILCETÁRIO
pilar
existente
pilar
existente
3",,,,,,,00,,"°01
VAGA PARA
ESTACIONAMENTO
MOTOSBICILCETÁRIO
pilar
existente
pilar
existente
3",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,052,,,,,,,05,,2,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,07A = 9,,,,,,,07,,A = 9,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"13 m²SALA DE
DESCANSO
puffs sofáE006
Desce
3",,,,,,,13,,"m²SALA DE
DESCANSO
puffs sofáE006
Desce
3",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"70
logotipo acm cor
padrão
""Cartão de Todos""
acm cor
padrão
""Cartão de Todos""acm cor
padrão
""Cartão de Todos""adesivo
na fachadaadesivo
na fachadalogotipoacm cor
padrão
""Cartão de Todos""
adesivo
na fachada278",,,,,,,70,,"logotipo acm cor
padrão
""Cartão de Todos""
acm cor
padrão
""Cartão de Todos""acm cor
padrão
""Cartão de Todos""adesivo
na fachadaadesivo
na fachadalogotipoacm cor
padrão
""Cartão de Todos""
adesivo
na fachada278",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"74 m²QUADRO DE ÁREAS:
ÁREA CONSTRUÍDA PAVIMENTO TÉRREO:
    9",,,,,,,74,,"m²QUADRO DE ÁREAS:
ÁREA CONSTRUÍDA PAVIMENTO TÉRREO:
    9",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"13 m² ÁREA CONSTRUÍDA MEZANINO:
287",,,,,,,13,,"m² ÁREA CONSTRUÍDA MEZANINO:
287",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"87 m² ÁREA CONSTRUÍDA TOTAL:* TODAS AS MEDIDAS DEVEM SER CONFERIDAS NO LOCAL
/32Folha:
ESCALA  1 : 50Planta de Layout -Pavimento Térreo1ESCALA  1 : 50Planta de Layout -Mezanino2
ESCALA  1 : 50Fachada Frontal4ESCALA  1 : 50Fachada Lateral5

--- PÁGINA 3 ---
A = 5",,,,,,,87,,"m² ÁREA CONSTRUÍDA TOTAL:* TODAS AS MEDIDAS DEVEM SER CONFERIDAS NO LOCAL
/32Folha:
ESCALA  1 : 50Planta de Layout -Pavimento Térreo1ESCALA  1 : 50Planta de Layout -Mezanino2
ESCALA  1 : 50Fachada Frontal4ESCALA  1 : 50Fachada Lateral5

--- PÁGINA 3 ---
A = 5",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,54 m²ALMOXARIFADOA = 24,,,,,,,54,,m²ALMOXARIFADOA = 24,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,72 m²SALA DE VENDAS IIA = 19,,,,,,,72,,m²SALA DE VENDAS IIA = 19,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"66 m²SALA DE VENDAS I
A = 17",,,,,,,66,,"m²SALA DE VENDAS I
A = 17",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,44 m²SALA DE REUNIÕESA = 12,,,,,,,44,,m²SALA DE REUNIÕESA = 12,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"48 m²PRÉ-VENDAS
A = 20",,,,,,,48,,"m²PRÉ-VENDAS
A = 20",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,69 m²ADIMPLÊNCIAA = 3,,,,,,,69,,m²ADIMPLÊNCIAA = 3,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"35 m²SANITÁRIO
ACESSÍVEL
A = 5",,,,,,,35,,"m²SANITÁRIO
ACESSÍVEL
A = 5",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"21 m²SANITÁRIO
FEMININO
A = 5",,,,,,,21,,"m²SANITÁRIO
FEMININO
A = 5",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"21 m²SANITÁRIO
MASCULINO A = 4",,,,,,,21,,"m²SANITÁRIO
MASCULINO A = 4",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"90 m²DML
A = 21",,,,,,,90,,"m²DML
A = 21",,,,
Projeto arquitetura Legal Cartão Joinville.pdf,quantidade_material,"25 m²COPA FUNCIONÁRIOS
A = 43",,,,,,,25,,"m²COPA FUNCIONÁRIOS
A = 43",,,,
